1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39
0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
-3,-1,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35
-3.95,-1.85,0.25,2.35,4.45,6.55,8.65,10.75,12.85,14.95,17.05,19.15,21.25,23.35,25.45,27.55,29.65,31.75,33.85,35.95
-4.95,-2.85,-0.75,1.35,3.45,5.55,7.65,9.75,11.85,13.95,16.05,18.15,20.25,22.35,24.45,26.55,28.65,30.75,32.85,34.95
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-2.85,-0.55,1.75,4.05,6.35,8.65,10.95,13.25,15.55,17.85,20.15,22.45,24.75,27.05,29.35,31.65,33.95,36.25,38.55,40.85
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-2.8,-0.399999999999999,2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38,40.4,42.8
-2.8,-0.399999999999999,2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38,40.4,42.8
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-2.8,-0.399999999999999,2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38,40.4,42.8
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
1.15,3.45,5.75,8.05,10.35,12.65,14.95,17.25,19.55,21.85,24.15,26.45,28.75,31.05,33.35,35.65,37.95,40.25,42.55,44.85
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
