name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,temp_1,temp_5,temp_10,temp_20,temp_50,temp_80,temp_90,temp_95,temp_99,dni_avg,dni_var,dni_cnt,dni_max,dni_min
74214,33.01,-116.74,17520,17.3172031963471,60.5227304615918,17520,39,0.7,3.1,6.8,8.7,10.7,15.85,24.2,28.9,32.4,36.4,291.251598173516,148603.692274423,17520,1052,0
74215,33.01,-116.7,17520,16.2799360328973,61.083967416517,17509,38,0,1.9,5.6,7.5,9.6,14.8,23.2,27.9,31.5,35.4,294.686872146119,151497.510484671,17520,1056,0
74216,33.01,-116.66,17520,13.75639666919,61.0003860835014,17173,35.5,0,-1.1,2.5,4.4,6.6,12,20.6,25.4,28.9,32.9,299.699771689498,156563.424099502,17520,1063,0
74217,33.01,-116.62,17520,13.3784965751419,61.5829714163964,17081,35.2,0,-1.6,1.9,3.9,6,11.6,20.3,25,28.5,32.5,303.590296803653,159485.74970889,17520,1069,0
74218,33.01,-116.58,17520,12.4144388549527,63.8964621663822,16698,34.4,0,-3.3,0.2,2.1,4.4,10.3,19.3,24.1,27.8,31.8,312.53595890411,163919.599140732,17520,1073,0
74219,33.01,-116.54,17520,13.3704292717924,72.1891739502452,16726,36.3,0,-3.23,0.2,2.3,4.8,11.2,20.8,25.8,29.6,33.6,315.630764840183,159844.202775154,17520,1066,0
74220,33.01,-116.5,17520,16.3301427663142,82.4666248871314,17301,40.4,0,-0.4,3.2,5.3,7.9,14.6,24.5,29.8,33.7,37.8,323.531906392694,157693.396550254,17520,1053,0
74221,33.01,-116.46,17520,18.1136020151133,87.7502953089377,17468,42.8,0,1.27,4.9,7,9.7,16.5,26.6,32,36,40.1,320.232762557078,152237.557211827,17520,1041,0
74222,33.01,-116.42,17520,17.1807412958266,88.8899772679389,17348,42.1,0,0,3.6,5.8,8.5,15.4,25.6,31.2,35.2,39.4,326.409760273973,155080.561866025,17520,1042,0
74223,33.01,-116.38,17520,17.8589332874038,91.7812054303537,17418,43.2,0,0.6,4.2,6.4,9.1,16.1,26.4,32.1,36.2,40.4,326.219520547945,155674.640774259,17520,1042,0
74224,33.01,-116.34,17520,18.3224374033119,93.0061570887503,17453,43.8,0,1,4.7,6.9,9.6,16.6,27,32.6,36.8,41,326.333105022831,155725.151435542,17520,1044,0
74225,33.01,-116.3,17520,17.7308604316547,93.3071228638507,17375,43.3,0,0.2,3.9,6.1,8.9,15.9,26.3,32,36.3,40.5,327.6875,157555.170390005,17520,1054,0
74226,33.01,-116.26,17520,18.1850702609693,94.2793577944785,17435,43.9,0,0.7,4.4,6.6,9.4,16.4,26.9,32.6,36.8,41.1,324.543721461187,152980.610452058,17520,1040,0
74227,33.01,-116.22,17520,20.0676369863014,95.5856196227649,17520,45.8,0,2.7,6.4,8.6,11.3,18.4,28.8,34.5,38.8,43.0299999999999,321.843436073059,149711.097068632,17520,1034,0
74228,33.01,-116.18,17520,20.5897488584474,95.5787281748388,17520,46.3,0.5,3.2,6.9,9.1,11.9,18.9,29.4,35.1,39.3,43.5299999999999,315.896175799087,146053.039451109,17520,1025,0
74229,33.01,-116.14,17520,21.6027054794519,95.5423855106035,17520,47.3,1.5,4.2,7.9,10.1,12.9,20,30.4,36.1,40.2,44.5,314.9625,143774.250834074,17520,1019,0
74230,33.01,-116.1,17520,21.2755194063927,95.4793715550759,17520,46.8,1.2,3.8,7.5,9.7,12.5,19.7,30.1,35.8,39.8,44,311.290924657534,142016.945154223,17520,1015,0
74231,33.01,-116.06,17520,21.9217237442923,95.4723769588981,17520,47.4,1.8,4.5,8.1,10.3,13.2,20.4,30.7,36.4,40.4,44.6,304.694691780822,139534.017118902,17520,1015,0
74232,33.01,-116.02,17520,20.9442237442922,95.5372895395236,17520,46.2,0.7,3.47,7,9.2,12.1,19.5,29.8,35.4,39.3,43.4,305.706621004566,139879.399967564,17520,1016,0
74233,33.01,-115.98,17520,21.9508504566212,95.5927614206418,17520,47.2,1.7,4.4,8,10.2,13.1,20.5,30.8,36.4,40.3,44.4,314.166894977169,142271.04252523,17520,1013,0
74234,33.01,-115.94,17520,23.1609360730593,97.5357328984763,17520,48.2,2.4,5.5,8.9,11.1,14.1,21.9,32.1,37.6,41.3,45.4,317.036929223744,144077.443067924,17520,1013,0
74235,33.01,-115.9,17520,23.1460844748858,97.7351875903286,17520,48.1,2.3,5.4,8.8,11,14.1,21.9,32.1,37.6,41.2,45.4,321.158847031963,146330.992461233,17520,1016,0
74236,33.01,-115.86,17520,23.0067408675799,98.2595064731691,17520,47.8,1.8,5.3,8.6,10.7,13.9,21.8,32,37.4,41,45.1,322.922659817352,147471.357509207,17520,1019,0
74237,33.01,-115.82,17520,22.8244863013699,98.4914284706148,17520,47.6,1.3,5.1,8.3,10.5,13.7,21.7,31.9,37.2,40.7,44.9,321.277111872146,147921.051522458,17520,1024,0
74238,33.01,-115.78,17520,22.8851826484019,98.6109340382176,17520,47.6,1.1,5.2,8.3,10.5,13.7,21.8,32,37.2,40.7,44.9,321.612385844749,148557.435624886,17520,1026,0
74239,33.01,-115.74,17520,23.081843607306,98.6567974457152,17520,47.8,1.1,5.4,8.5,10.7,13.9,22,32.2,37.4,40.9,45.1,315.001826484018,145398.935552323,17520,1028,0
74240,33.01,-115.7,17520,23.1334189497717,98.6603746335354,17520,47.8,1,5.4,8.6,10.7,13.9,22,32.3,37.4,40.95,45.1,309.875171232877,142960.771505181,17520,1028,0
74241,33.01,-115.66,17520,23.3218778538813,98.6208301968497,17520,48,1.1,5.6,8.8,10.9,14.1,22.2,32.5,37.6,41.1,45.3,309.76700913242,146426.465719004,17520,1029,0
74242,33.01,-115.62,17520,23.3190924657534,98.6201029493788,17520,48,1.1,5.6,8.8,10.9,14.1,22.2,32.5,37.6,41.1,45.2299999999999,309.449257990868,147081.472965949,17520,1029,0
74243,33.01,-115.58,17520,23.3149200913242,98.7676922134896,17520,48,1.1,5.6,8.8,10.9,14.1,22.2,32.5,37.6,41.1,45.3,311.283561643836,148008.468363812,17520,1029,0
74244,33.01,-115.54,17520,23.3548401826486,98.8990004881845,17520,48,1.1,5.6,8.8,10.9,14.1,22.2,32.5,37.7,41.2,45.3,307.153710045662,146151.028772112,17520,1028,0
74245,33.01,-115.5,17520,23.4042066210046,99.2730247144267,17520,48.1,1.2,5.6,8.8,10.9,14.2,22.3,32.6,37.7,41.2,45.4,305.18350456621,144529.471375827,17520,1026,0
74246,33.01,-115.46,17520,23.4626141552513,100.103690408795,17520,48.2,1.1,5.5,8.7,10.9,14.2,22.4,32.7,37.8,41.35,45.5,306.597602739726,144726.724761643,17520,1024,0
74247,33.01,-115.42,17520,23.4616095890411,100.793966471238,17520,48.2,1.1,5.37,8.7,10.9,14.1,22.4,32.7,37.9,41.4,45.5,308.897089041096,145276.196897751,17520,1022,0
74248,33.01,-115.38,17520,23.4330707762557,101.589622626419,17520,48.2,1,5.2,8.6,10.8,14.05,22.4,32.7,37.9,41.4,45.6,311.654566210046,145784.987352863,17520,1020,0
74249,33.01,-115.34,17520,23.4042180365297,102.013168462075,17520,48.2,0.9,5.1,8.5,10.7,14,22.3,32.7,37.9,41.4,45.6,314.60553652968,145392.44448105,17520,1016,0
74250,33.01,-115.3,17520,23.243864155251,104.118559301142,17520,48.2,0.5,4.6,8.1,10.4,13.7,22.3,32.6,37.9,41.3,45.5,316.431678082192,143220.16337798,17520,1012,0
74251,33.01,-115.26,17520,23.2183732876711,104.582835529352,17520,48.2,0.5,4.5,8,10.3,13.7,22.2,32.6,37.9,41.3,45.5,315.67397260274,142502.195201275,17520,1009,0
